Date,Symbol,rk_parzen,rv5,close_price,,
20150331,.SPX,3.74E-05,4.18E-05,2068.18,,
20150401,.SPX,7.54E-05,5.42E-05,2059.78,,
20150402,.SPX,3.98E-05,2.59E-05,2066.775,,
20150406,.SPX,3.36E-05,2.85E-05,2080.81,,
20150407,.SPX,2.51E-05,1.96E-05,2076.1,,
20150408,.SPX,3.68E-05,5.16E-05,2081.805,,
20150409,.SPX,2.31E-05,3.57E-05,2091.1,,
20150410,.SPX,6.63E-06,8.04E-06,2102.07,,
20150413,.SPX,1.21E-05,1.24E-05,2092.72,,
20150414,.SPX,2.95E-05,2.77E-05,2096.12,,
20150415,.SPX,2.34E-05,2.01E-05,2106.3,,
20150416,.SPX,1.41E-05,1.67E-05,2105.14,,
20150417,.SPX,6.98E-05,5.79E-05,2081.12,,
20150420,.SPX,4.26E-05,3.73E-05,2100.27,,
20150421,.SPX,1.34E-05,2.05E-05,2097.49,,
20150422,.SPX,2.08E-05,2.11E-05,2107.94,,
20150423,.SPX,2.21E-05,2.44E-05,2113.01,,
20150424,.SPX,4.68E-06,1.07E-05,2117.82,,
20150427,.SPX,1.83E-05,2.32E-05,2109.05,,
20150428,.SPX,3.90E-05,4.15E-05,2114.98,,
20150429,.SPX,4.10E-05,4.38E-05,2106.76,,
20150430,.SPX,5.70E-05,4.95E-05,2085.57,,
20150501,.SPX,4.03E-05,4.53E-05,2107.89,,
20150504,.SPX,1.71E-05,1.41E-05,2114.42,,
20150505,.SPX,3.82E-05,3.26E-05,2089.52,,
20150506,.SPX,6.89E-05,8.59E-05,2080.505,,
20150507,.SPX,2.38E-05,3.14E-05,2088.06,,
20150508,.SPX,6.26E-05,7.57E-05,2115.83,,
20150511,.SPX,1.57E-05,1.67E-05,2105.295,,
20150512,.SPX,6.55E-05,6.70E-05,2099.08,,
20150513,.SPX,3.45E-05,4.47E-05,2098.55,,
20150514,.SPX,2.10E-05,3.01E-05,2120.66,,
20150515,.SPX,6.30E-06,1.15E-05,2122.705,,
20150518,.SPX,6.46E-06,4.81E-06,2128.93,,
20150519,.SPX,1.05E-05,9.76E-06,2127.895,,
20150520,.SPX,2.19E-05,1.75E-05,2125.845,,
20150521,.SPX,9.20E-06,7.83E-06,2131.1,,
20150522,.SPX,7.66E-06,1.10E-05,2126.305,,
20150526,.SPX,3.66E-05,2.66E-05,2104.37,,
20150527,.SPX,2.02E-05,1.62E-05,2123.44,,
20150528,.SPX,1.88E-05,1.93E-05,2120.95,,
20150529,.SPX,3.81E-05,2.87E-05,2107.56,,
20150601,.SPX,2.63E-05,4.00E-05,2111.755,,
20150602,.SPX,3.71E-05,3.07E-05,2109.57,,
20150603,.SPX,2.04E-05,1.89E-05,2114.345,,
20150604,.SPX,3.77E-05,4.54E-05,2096.4,,
20150605,.SPX,3.43E-05,3.43E-05,2092.8,,
20150608,.SPX,1.61E-05,1.45E-05,2079.48,,
20150609,.SPX,2.18E-05,2.22E-05,2079.95,,
20150610,.SPX,3.74E-05,3.89E-05,2104.56,,
20150611,.SPX,1.49E-05,1.98E-05,2109.31,,
20150612,.SPX,2.99E-05,2.66E-05,2094.18,,
20150615,.SPX,6.64E-05,8.51E-05,2084.64,,
20150616,.SPX,1.45E-05,2.78E-05,2096.365,,
20150617,.SPX,4.56E-05,4.12E-05,2100.485,,
20150618,.SPX,2.98E-05,3.20E-05,2120.9,,
20150619,.SPX,1.14E-05,1.12E-05,2109.69,,
20150622,.SPX,2.81E-05,4.78E-05,2123.04,,
20150623,.SPX,7.48E-06,1.05E-05,2124.31,,
20150624,.SPX,1.48E-05,1.43E-05,2108.92,,
20150625,.SPX,1.66E-05,1.68E-05,2102.57,,
20150626,.SPX,2.07E-05,2.31E-05,2101.94,,
20150629,.SPX,4.63E-05,7.56E-05,2057.79,,
20150630,.SPX,5.15E-05,8.09E-05,2062.955,,
20150701,.SPX,4.59E-05,5.97E-05,2077.77,,
20150702,.SPX,1.40E-05,2.15E-05,2076.26,,
20150706,.SPX,4.61E-05,8.58E-05,2068.81,,
20150707,.SPX,9.80E-05,8.97E-05,2081.65,,
20150708,.SPX,7.20E-05,8.68E-05,2047.02,,
20150709,.SPX,0.000124183,0.000172045,2051.32,,
20150710,.SPX,9.90E-05,0.000126147,2076.51,,
20150713,.SPX,3.56E-05,4.65E-05,2099.44,,
20150714,.SPX,6.87E-06,5.90E-06,2108.84,,
20150715,.SPX,1.39E-05,1.35E-05,2107.8,,
20150716,.SPX,9.31E-06,1.56E-05,2124.21,,
20150717,.SPX,1.10E-05,5.88E-06,2126.48,,
20150720,.SPX,7.06E-06,8.54E-06,2128.04,,
20150721,.SPX,1.07E-05,1.06E-05,2119.13,,
20150722,.SPX,1.63E-05,1.89E-05,2114.05,,
20150723,.SPX,2.54E-05,1.60E-05,2102.265,,
20150724,.SPX,2.33E-05,1.99E-05,2079.85,,
20150727,.SPX,4.80E-05,6.02E-05,2068.06,,
20150728,.SPX,2.62E-05,2.89E-05,2093.35,,
20150729,.SPX,1.38E-05,2.02E-05,2108.42,,
20150730,.SPX,2.90E-05,2.10E-05,2108.865,,
20150731,.SPX,1.37E-05,1.47E-05,2104.8,,
20150803,.SPX,4.04E-05,3.21E-05,2098.03,,
20150804,.SPX,2.45E-05,2.33E-05,2093.35,,
20150805,.SPX,4.11E-05,4.16E-05,2099.99,,
20150806,.SPX,4.14E-05,2.93E-05,2083.81,,
20150807,.SPX,2.21E-05,3.32E-05,2077.925,,
20150810,.SPX,4.08E-05,4.57E-05,2104.1,,
20150811,.SPX,5.08E-05,6.76E-05,2084.54,,
20150812,.SPX,9.75E-05,0.000114647,2086.33,,
20150813,.SPX,3.21E-05,4.13E-05,2083.57,,
20150814,.SPX,1.52E-05,1.65E-05,2091.7,,
